,S1block1,S1block2,S2block1,S2block2,S3block1,S3block2,S4block1,S4block2,S5block1,S5block2
0,1,12,10,13,17,3,16,13,10,7
1,13,14,13,17,9,11,12,20,12,16
2,15,19,4,4,19,1,2,15,7,8
3,14,5,11,19,11,2,19,7,18,2
4,12,1,3,2,7,5,14,9,16,4
5,20,14,9,8,20,9,8,6,17,13
6,11,7,17,12,12,19,18,1,13,6
7,17,11,16,16,14,7,3,2,1,18
8,16,17,5,14,2,6,15,3,9,9
9,18,10,12,18,1,18,4,11,4,12
10,9,15,19,7,6,4,5,12,8,11
11,9,3,14,1,4,8,9,14,5,19
12,4,18,8,6,18,16,17,10,3,5
13,19,4,8,10,3,13,13,18,20,3
14,12,8,15,5,16,14,20,19,2,15
15,3,16,18,16,8,15,7,5,14,10
16,8,6,4,3,2,12,11,15,6,18
17,6,20,7,20,10,20,1,17,11,14
18,10,13,6,9,13,17,6,4,15,17
19,12,13,1,5,5,10,10,8,18,1
20,12,6,16,16,12,6,15,6,20,1
21,19,18,9,9,4,5,7,19,14,6
